name,price,dimension,material,category
Pièces de jeu d’échecs ANTIQUE,346.00€,13.2 cm / 4.8 cm,bois,Pièces de jeu
Pièces de jeu d’échecs STAINED CALVERT,347.00€,10.4 cm / 3.6 cm,bois,Pièces de jeu
Pièces de jeu d’échecs de luxe DUC DE VELIANT ÉBÈNE,351.00€,11 cm / 4.2 cm,ébène,Pièces de jeu
Pièces de jeu d’échecs GRAND DIVAN en palissandre,353.00€,10.9 cm / 4 cm,palissandre,Pièces de jeu
Pièces de jeu d’échecs MONOBLOCK PATTERN en bois de rose,366.00€,10.5 cm / 3.8 cm,rose,Pièces de jeu
Pièces de jeu d’échecs de luxe DUC DE LYS ÉBÈNE,376.00€,11.3 cm / 4.8 cm,ébène,Pièces de jeu
Pièces de jeu d’échecs de luxe APALOUSA en ébène,376.00€,11.2 cm / 4.8 cm,ébène,Pièces de jeu
Pièces de jeu d’échecs de luxe APALOUSA en bois de rose,376.00€,11.2 cm / 4.8 cm,rose,Pièces de jeu
Pièces de jeu d’échecs de luxe DUC DE COURTENAY en bois de rose,417.00€,11 cm / 4.9 cm,rose,Pièces de jeu
Pièces de jeu d’échecs de luxe DUC DE COURTENAY ÉBÈNE,417.00€,11 cm / 4.9 cm,ébène,Pièces de jeu
Pièces de jeu d’échecs CALVERT STYLE en palissandre,457.00€,11.8 cm / 4.4 cm,palissandre,Pièces de jeu
Pièces de jeu d’échecs de luxe COMTE DE ROBERDIC ÉBÈNE,480.00€,10.7 cm / 4.6 cm,ébène,Pièces de jeu
Pièces de jeu d’échecs de luxe COMTE DE ROBERDIC BOIS DE ROSE,480.00€,10.7 cm / 4.6 cm,rose,Pièces de jeu
Pièces de jeu d’échecs de luxe CAVALIER DE KINSKY,482.00€,11.4 cm / 4.4 cm,bois,Pièces de jeu
Pièces de jeu d’échecs SOLAPUR en bois de rose,484.00€,14 cm / 4.6 cm,rose,Pièces de jeu
Pièces de jeu d’échecs antiques SOLAPUR ÉBÈNE,484.00€,14 cm / 4.6 cm,ébène,Pièces de jeu
Pièces de jeu d’échecs de luxe DUC DE PADOUE ÉBÈNE,499.00€,11.5 cm / 4.8 cm,ébène,Pièces de jeu
Pièces de jeu d’échecs COLOMBIEN ÉBÈNE,499.00€,11.5 / 4.8 cm,ébène,Pièces de jeu
Pièces de jeu d’échecs COLOMBIEN en bois de rose,499.00€,11.5 / 4.8 cm,rose,Pièces de jeu
Pièces de jeu d’échecs de luxe HURRICANE,509.00€,12.4 cm / 4.9 cm,bois,Pièces de jeu
Pièces de jeu d’échecs de luxe HURRICANE ÉBÈNE,509.00€,12.4 cm / 4.9 cm,ébène,Pièces de jeu
Pièces de jeu d’échecs de luxe DUC DE CARIGNAN,527.00€,11.4 cm / 4.8 cm,bois,Pièces de jeu
Pièces de jeu d’échecs de luxe DUC DE CARIGNAN ÉBÈNE,527.00€,11.4 cm / 4.8 cm,ébène,Pièces de jeu
Pièces de jeu d’échecs de luxe PERSIA ÉBÈNE,528.00€,11.6 cm / 4.8 cm,ébène,Pièces de jeu
Pièces de jeu d’échecs de luxe PERSIA,528.00€,11.6 cm / 4.8 cm,bois,Pièces de jeu
Pièces de jeu d’échecs de luxe COMTE DE LONGUEVILLE ÉBÈNE,534.00€,12.4 cm / 4.8 cm,ébène,Pièces de jeu
Pièces de jeu d’échecs de luxe BARON DE REUILLY,539.00€,11.6 cm / 4.8 cm,bois,Pièces de jeu
Pièces de jeu d’échecs de luxe BARON DE REUILLY ÉBÈNE,539.00€,11.6 cm / 4.8 cm,ébène,Pièces de jeu
Pièces de jeu d’échecs de luxe CAVALIER DE KINSKY ÉBÈNE,549.00€,11.4 cm / 4.4 cm,ébène,Pièces de jeu
Pièces de jeu d’échecs COMTE DE BELGARDE ÉBÈNE,569.00€,11.2 cm / 4.7 cm,ébène,Pièces de jeu
Pièces de jeu d’échecs COMTE DE BELGARDE bois de rose,569.00€,11.2 cm / 4.7 cm,rose,Pièces de jeu
Pièces de jeu d’échecs de luxe COMTE DE FRONSAC ÉBÈNE,579.00€,12.2 cm / 5 cm,ébène,Pièces de jeu
Pièces de jeu d’échecs de luxe COMTE DE FRONSAC,579.00€,12.2 cm / 5 cm,bois,Pièces de jeu
Pièces rares de jeu d’échecs de luxe DUCHAMP en bois de rose,586.00€,11.4 cm / 4 cm,rose,Pièces de jeu
Pièces rares de jeu d’échecs de luxe DUCHAMP en ébène,586.00€,11.4 cm / 4 cm,ébène,Pièces de jeu
Pièces de jeu d’échecs de luxe ANDALOUSIA,589.00€,11.7 cm / 4.8 cm,bois,Pièces de jeu
Pièces de jeu d’échecs de luxe ANDALOUSIA ÉBÈNE,589.00€,11.7 cm / 4.8 cm,ébène,Pièces de jeu
Pièces de jeu d’échecs de luxe ENGLISH TAWLEED,592.00€,11.9 cm / 4.9 cm,bois,Pièces de jeu
Pièces de jeu d’échecs de luxe ENGLISH TAWLEED ÉBÈNE,592.00€,11.9 cm / 4.9 cm,ébène,Pièces de jeu
Pièces de jeu d’échecs CATALAN en bois de rose,614.00€,11 cm / 4.4 cm,rose,Pièces de jeu
Pièces de jeu d’échecs rare de luxe COMTE DE CONEGLIANO,632.00€,11.7 cm / 5.2 cm,bois,Pièces de jeu
Pièces de jeu d’échecs rares de luxe DUC DE TAVANNES,637.00€,10.8 cm / 4.9 cm,bois,Pièces de jeu
Pièces de jeu d’échecs rares de luxe DUC DE TAVANNES ÉBÈNE,637.00€,10.8 cm / 4.9 cm,ébène,Pièces de jeu
Pièces géantes de jeu d’échecs GIANT STAUNTON en bois de rose –,979.00€,15.3 cm / 6.4 cm,rose,Pièces de jeu
Pièces géantes de jeu d’échecs GIANT STAUNTON en ébène et buis –,979.00€,15.3 cm / 6.4 cm,ébène et buis,Pièces de jeu
